action_const,resource_const,action_class,superclass,classification,auth_effective,auth,route,http_method,blocking,file,line_start,line_end,applies_to_resource_file,desc,allow_conditions,restrict_lines,input_whitelist,input_blacklist,output_whitelist,output_blacklist,runtime_checks,authorize_blocks,authorize_effective,parent_resource_const
VpsAdmin::API::Resources::HelpBox::Update,VpsAdmin::API::Resources::HelpBox,Update,HaveAPI::Actions::Default::Update,admin_only,True,True,,,False,plugins/webui/api/resources/help_box.rb,127,149,,,"[""u.role == :admin""]",[],[],[],[],[],[],"[{""file"": ""plugins/webui/api/resources/help_box.rb"", ""kind"": ""inclass"", ""line_end"": 140, ""line_start"": 138, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n      end""}]","{""file"": ""plugins/webui/api/resources/help_box.rb"", ""kind"": ""inclass"", ""line_end"": 140, ""line_start"": 138, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n      end""}",
VpsAdmin::API::Resources::HostIpAddress::Assign,VpsAdmin::API::Resources::HostIpAddress,Assign,HaveAPI::Action,authenticated,True,True,{%{resource}_id}/assign,post,True,api/lib/vpsadmin/api/resources/host_ip_address.rb,316,356,,,"[""(allow)""]",[],[],[],[],[],"[{""code"": ""error!('access denied')"", ""line"": 340}]","[{""file"": ""api/lib/vpsadmin/api/resources/host_ip_address.rb"", ""kind"": ""inclass"", ""line_end"": 328, ""line_start"": 326, ""snippet"": ""      authorize do |_u|\n        allow\n      end""}]","{""file"": ""api/lib/vpsadmin/api/resources/host_ip_address.rb"", ""kind"": ""inclass"", ""line_end"": 328, ""line_start"": 326, ""snippet"": ""      authorize do |_u|\n        allow\n      end""}",
VpsAdmin::API::Resources::HostIpAddress::Create,VpsAdmin::API::Resources::HostIpAddress,Create,HaveAPI::Actions::Default::Create,authenticated,True,True,,,False,api/lib/vpsadmin/api/resources/host_ip_address.rb,217,245,,,"[""(allow)""]",[],[],[],[],[],"[{""code"": ""error!('access denied') if current_user.role != :admin && ip.current_owner != current_user"", ""line"": 239}]","[{""file"": ""api/lib/vpsadmin/api/resources/host_ip_address.rb"", ""kind"": ""inclass"", ""line_end"": 234, ""line_start"": 232, ""snippet"": ""      authorize do |_u|\n        allow\n      end""}]","{""file"": ""api/lib/vpsadmin/api/resources/host_ip_address.rb"", ""kind"": ""inclass"", ""line_end"": 234, ""line_start"": 232, ""snippet"": ""      authorize do |_u|\n        allow\n      end""}",
VpsAdmin::API::Resources::HostIpAddress::Delete,VpsAdmin::API::Resources::HostIpAddress,Delete,HaveAPI::Actions::Default::Delete,authenticated,True,True,,,True,api/lib/vpsadmin/api/resources/host_ip_address.rb,292,314,,,"[""(allow)""]",[],[],[],[],[],"[{""code"": ""error!('access denied') if current_user.role != :admin && host.current_owner != current_user"", ""line"": 303}]","[{""file"": ""api/lib/vpsadmin/api/resources/host_ip_address.rb"", ""kind"": ""inclass"", ""line_end"": 298, ""line_start"": 296, ""snippet"": ""      authorize do |_u|\n        allow\n      end""}]","{""file"": ""api/lib/vpsadmin/api/resources/host_ip_address.rb"", ""kind"": ""inclass"", ""line_end"": 298, ""line_start"": 296, ""snippet"": ""      authorize do |_u|\n        allow\n      end""}",
VpsAdmin::API::Resources::HostIpAddress::Free,VpsAdmin::API::Resources::HostIpAddress,Free,HaveAPI::Action,authenticated,True,True,{%{resource}_id}/free,post,True,api/lib/vpsadmin/api/resources/host_ip_address.rb,358,400,,,"[""(allow)""]",[],[],[],[],[],"[{""code"": ""error!('access denied')"", ""line"": 382}]","[{""file"": ""api/lib/vpsadmin/api/resources/host_ip_address.rb"", ""kind"": ""inclass"", ""line_end"": 370, ""line_start"": 368, ""snippet"": ""      authorize do |_u|\n        allow\n      end""}]","{""file"": ""api/lib/vpsadmin/api/resources/host_ip_address.rb"", ""kind"": ""inclass"", ""line_end"": 370, ""line_start"": 368, ""snippet"": ""      authorize do |_u|\n        allow\n      end""}",
VpsAdmin::API::Resources::HostIpAddress::Index,VpsAdmin::API::Resources::HostIpAddress,Index,HaveAPI::Actions::Default::Index,authenticated,True,True,,,False,api/lib/vpsadmin/api/resources/host_ip_address.rb,43,174,,,"[""u.role == :admin"", ""(allow)""]",[],"[""location"", ""network"", ""version"", ""role"", ""purpose"", ""addr"", ""prefix"", ""vps"", ""network_interface"", ""ip_address"", ""assigned"", ""routed"", ""order"", ""limit"", ""from_id""]",[],[],[],[],"[{""file"": ""api/lib/vpsadmin/api/resources/host_ip_address.rb"", ""kind"": ""inclass"", ""line_end"": 62, ""line_start"": 56, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n        input whitelist: %i[location network version role purpose addr prefix vps\n                            network_interface ip_address assigned routed order\n                            limit from_id]\n        allow\n      end""}]","{""file"": ""api/lib/vpsadmin/api/resources/host_ip_address.rb"", ""kind"": ""inclass"", ""line_end"": 62, ""line_start"": 56, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n        input whitelist: %i[location network version role purpose addr prefix vps\n                            network_interface ip_address assigned routed order\n                            limit from_id]\n        allow\n      end""}",
VpsAdmin::API::Resources::HostIpAddress::Show,VpsAdmin::API::Resources::HostIpAddress,Show,HaveAPI::Actions::Default::Show,authenticated,True,True,,,False,api/lib/vpsadmin/api/resources/host_ip_address.rb,176,215,,,"[""(allow)""]",[],[],[],[],[],[],"[{""file"": ""api/lib/vpsadmin/api/resources/host_ip_address.rb"", ""kind"": ""inclass"", ""line_end"": 185, ""line_start"": 183, ""snippet"": ""      authorize do |_u|\n        allow\n      end""}]","{""file"": ""api/lib/vpsadmin/api/resources/host_ip_address.rb"", ""kind"": ""inclass"", ""line_end"": 185, ""line_start"": 183, ""snippet"": ""      authorize do |_u|\n        allow\n      end""}",
VpsAdmin::API::Resources::HostIpAddress::Update,VpsAdmin::API::Resources::HostIpAddress,Update,HaveAPI::Actions::Default::Update,authenticated,True,True,,,True,api/lib/vpsadmin/api/resources/host_ip_address.rb,247,290,,,"[""(allow)""]",[],[],[],[],[],"[{""code"": ""error!('access denied') if current_user.role != :admin && host.current_owner != current_user"", ""line"": 266}]","[{""file"": ""api/lib/vpsadmin/api/resources/host_ip_address.rb"", ""kind"": ""inclass"", ""line_end"": 261, ""line_start"": 259, ""snippet"": ""      authorize do |_u|\n        allow\n      end""}]","{""file"": ""api/lib/vpsadmin/api/resources/host_ip_address.rb"", ""kind"": ""inclass"", ""line_end"": 261, ""line_start"": 259, ""snippet"": ""      authorize do |_u|\n        allow\n      end""}",
VpsAdmin::API::Resources::IncidentReport::Create,VpsAdmin::API::Resources::IncidentReport,Create,HaveAPI::Actions::Default::Create,admin_only,True,True,,,True,api/lib/vpsadmin/api/resources/incident_report.rb,109,151,,,"[""u.role == :admin""]",[],[],[],[],[],[],"[{""file"": ""api/lib/vpsadmin/api/resources/incident_report.rb"", ""kind"": ""inclass"", ""line_end"": 127, ""line_start"": 125, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n      end""}]","{""file"": ""api/lib/vpsadmin/api/resources/incident_report.rb"", ""kind"": ""inclass"", ""line_end"": 127, ""line_start"": 125, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n      end""}",
VpsAdmin::API::Resources::IncidentReport::Index,VpsAdmin::API::Resources::IncidentReport,Index,HaveAPI::Actions::Default::Index,owner_or_admin,True,True,,,False,api/lib/vpsadmin/api/resources/incident_report.rb,34,82,,,"[""u.role == :admin"", ""(allow)""]","[""user_id: u.id""]",[],[],[],"[""user"", ""mailbox""]",[],"[{""file"": ""api/lib/vpsadmin/api/resources/incident_report.rb"", ""kind"": ""inclass"", ""line_end"": 51, ""line_start"": 46, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n        restrict user_id: u.id\n        output blacklist: %i[user mailbox]\n        allow\n      end""}]","{""file"": ""api/lib/vpsadmin/api/resources/incident_report.rb"", ""kind"": ""inclass"", ""line_end"": 51, ""line_start"": 46, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n        restrict user_id: u.id\n        output blacklist: %i[user mailbox]\n        allow\n      end""}",
VpsAdmin::API::Resources::IncidentReport::Show,VpsAdmin::API::Resources::IncidentReport,Show,HaveAPI::Actions::Default::Show,owner_or_admin,True,True,,,False,api/lib/vpsadmin/api/resources/incident_report.rb,84,107,,,"[""u.role == :admin"", ""(allow)""]","[""user_id: u.id""]",[],[],[],"[""user"", ""mailbox""]",[],"[{""file"": ""api/lib/vpsadmin/api/resources/incident_report.rb"", ""kind"": ""inclass"", ""line_end"": 96, ""line_start"": 91, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n        restrict user_id: u.id\n        output blacklist: %i[user mailbox]\n        allow\n      end""}]","{""file"": ""api/lib/vpsadmin/api/resources/incident_report.rb"", ""kind"": ""inclass"", ""line_end"": 96, ""line_start"": 91, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n        restrict user_id: u.id\n        output blacklist: %i[user mailbox]\n        allow\n      end""}",
VpsAdmin::API::Resources::IncomingPayment::Index,VpsAdmin::API::Resources::IncomingPayment,Index,HaveAPI::Actions::Default::Index,admin_only,True,True,,,False,plugins/payments/api/resources/incoming_payment.rb,30,61,,,"[""u.role == :admin""]",[],[],[],[],[],[],"[{""file"": ""plugins/payments/api/resources/incoming_payment.rb"", ""kind"": ""inclass"", ""line_end"": 44, ""line_start"": 42, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n      end""}]","{""file"": ""plugins/payments/api/resources/incoming_payment.rb"", ""kind"": ""inclass"", ""line_end"": 44, ""line_start"": 42, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n      end""}",
VpsAdmin::API::Resources::IncomingPayment::Show,VpsAdmin::API::Resources::IncomingPayment,Show,HaveAPI::Actions::Default::Show,admin_only,True,True,,,False,plugins/payments/api/resources/incoming_payment.rb,63,81,,,"[""u.role == :admin""]",[],[],[],[],[],[],"[{""file"": ""plugins/payments/api/resources/incoming_payment.rb"", ""kind"": ""inclass"", ""line_end"": 72, ""line_start"": 70, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n      end""}]","{""file"": ""plugins/payments/api/resources/incoming_payment.rb"", ""kind"": ""inclass"", ""line_end"": 72, ""line_start"": 70, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n      end""}",
VpsAdmin::API::Resources::IncomingPayment::Update,VpsAdmin::API::Resources::IncomingPayment,Update,HaveAPI::Actions::Default::Update,admin_only,True,True,,,False,plugins/payments/api/resources/incoming_payment.rb,83,104,,,"[""u.role == :admin""]",[],[],[],[],[],[],"[{""file"": ""plugins/payments/api/resources/incoming_payment.rb"", ""kind"": ""inclass"", ""line_end"": 97, ""line_start"": 95, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n      end""}]","{""file"": ""plugins/payments/api/resources/incoming_payment.rb"", ""kind"": ""inclass"", ""line_end"": 97, ""line_start"": 95, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n      end""}",
VpsAdmin::API::Resources::IpAddress::Assign,VpsAdmin::API::Resources::IpAddress,Assign,HaveAPI::Action,authenticated,True,True,{%{resource}_id}/assign,post,True,api/lib/vpsadmin/api/resources/ip_address.rb,294,349,,,"[""(allow)""]",[],[],[],[],[],"[{""code"": ""error!('access denied')"", ""line"": 325}]","[{""file"": ""api/lib/vpsadmin/api/resources/ip_address.rb"", ""kind"": ""inclass"", ""line_end"": 313, ""line_start"": 311, ""snippet"": ""    authorize do |_u|\n      allow\n    end""}]","{""file"": ""api/lib/vpsadmin/api/resources/ip_address.rb"", ""kind"": ""inclass"", ""line_end"": 313, ""line_start"": 311, ""snippet"": ""    authorize do |_u|\n      allow\n    end""}",
VpsAdmin::API::Resources::IpAddress::AssignWithHostAddress,VpsAdmin::API::Resources::IpAddress,AssignWithHostAddress,HaveAPI::Action,authenticated,True,True,{%{resource}_id}/assign_with_host_address,post,True,api/lib/vpsadmin/api/resources/ip_address.rb,351,408,,,"[""(allow)""]",[],[],[],[],[],"[{""code"": ""error!('access denied')"", ""line"": 382}]","[{""file"": ""api/lib/vpsadmin/api/resources/ip_address.rb"", ""kind"": ""inclass"", ""line_end"": 370, ""line_start"": 368, ""snippet"": ""    authorize do |_u|\n      allow\n    end""}]","{""file"": ""api/lib/vpsadmin/api/resources/ip_address.rb"", ""kind"": ""inclass"", ""line_end"": 370, ""line_start"": 368, ""snippet"": ""    authorize do |_u|\n      allow\n    end""}",
VpsAdmin::API::Resources::IpAddress::Create,VpsAdmin::API::Resources::IpAddress,Create,HaveAPI::Actions::Default::Create,admin_only,True,True,,,False,api/lib/vpsadmin/api/resources/ip_address.rb,218,252,,,"[""u.role == :admin""]",[],[],[],[],[],[],"[{""file"": ""api/lib/vpsadmin/api/resources/ip_address.rb"", ""kind"": ""inclass"", ""line_end"": 233, ""line_start"": 231, ""snippet"": ""    authorize do |u|\n      allow if u.role == :admin\n    end""}]","{""file"": ""api/lib/vpsadmin/api/resources/ip_address.rb"", ""kind"": ""inclass"", ""line_end"": 233, ""line_start"": 231, ""snippet"": ""    authorize do |u|\n      allow if u.role == :admin\n    end""}",
VpsAdmin::API::Resources::IpAddress::Free,VpsAdmin::API::Resources::IpAddress,Free,HaveAPI::Action,authenticated,True,True,{%{resource}_id}/free,post,True,api/lib/vpsadmin/api/resources/ip_address.rb,410,452,,,"[""(allow)""]",[],[],[],[],[],"[{""code"": ""error!('access denied')"", ""line"": 434}]","[{""file"": ""api/lib/vpsadmin/api/resources/ip_address.rb"", ""kind"": ""inclass"", ""line_end"": 422, ""line_start"": 420, ""snippet"": ""    authorize do |_u|\n      allow\n    end""}]","{""file"": ""api/lib/vpsadmin/api/resources/ip_address.rb"", ""kind"": ""inclass"", ""line_end"": 422, ""line_start"": 420, ""snippet"": ""    authorize do |_u|\n      allow\n    end""}",
VpsAdmin::API::Resources::IpAddress::Index,VpsAdmin::API::Resources::IpAddress,Index,HaveAPI::Actions::Default::Index,authenticated,True,True,,,False,api/lib/vpsadmin/api/resources/ip_address.rb,41,177,,,"[""u.role == :admin"", ""(allow)""]",[],"[""location"", ""network"", ""version"", ""role"", ""purpose"", ""addr"", ""prefix"", ""vps"", ""network_interface"", ""assigned_to_interface"", ""order"", ""limit"", ""from_id""]",[],[],[],[],"[{""file"": ""api/lib/vpsadmin/api/resources/ip_address.rb"", ""kind"": ""inclass"", ""line_end"": 60, ""line_start"": 54, ""snippet"": ""    authorize do |u|\n      allow if u.role == :admin\n      input whitelist: %i[location network version role purpose addr prefix vps\n                          network_interface assigned_to_interface order\n                          limit from_id]\n      allow\n    end""}]","{""file"": ""api/lib/vpsadmin/api/resources/ip_address.rb"", ""kind"": ""inclass"", ""line_end"": 60, ""line_start"": 54, ""snippet"": ""    authorize do |u|\n      allow if u.role == :admin\n      input whitelist: %i[location network version role purpose addr prefix vps\n                          network_interface assigned_to_interface order\n                          limit from_id]\n      allow\n    end""}",
VpsAdmin::API::Resources::IpAddress::Show,VpsAdmin::API::Resources::IpAddress,Show,HaveAPI::Actions::Default::Show,authenticated,True,True,,,False,api/lib/vpsadmin/api/resources/ip_address.rb,179,216,,,"[""(allow)""]",[],[],[],[],[],[],"[{""file"": ""api/lib/vpsadmin/api/resources/ip_address.rb"", ""kind"": ""inclass"", ""line_end"": 188, ""line_start"": 186, ""snippet"": ""    authorize do |_u|\n      allow\n    end""}]","{""file"": ""api/lib/vpsadmin/api/resources/ip_address.rb"", ""kind"": ""inclass"", ""line_end"": 188, ""line_start"": 186, ""snippet"": ""    authorize do |_u|\n      allow\n    end""}",
VpsAdmin::API::Resources::IpAddress::Update,VpsAdmin::API::Resources::IpAddress,Update,HaveAPI::Actions::Default::Update,admin_only,True,True,,,True,api/lib/vpsadmin/api/resources/ip_address.rb,254,292,,,"[""u.role == :admin""]",[],[],[],[],[],[],"[{""file"": ""api/lib/vpsadmin/api/resources/ip_address.rb"", ""kind"": ""inclass"", ""line_end"": 269, ""line_start"": 267, ""snippet"": ""    authorize do |u|\n      allow if u.role == :admin\n    end""}]","{""file"": ""api/lib/vpsadmin/api/resources/ip_address.rb"", ""kind"": ""inclass"", ""line_end"": 269, ""line_start"": 267, ""snippet"": ""    authorize do |u|\n      allow if u.role == :admin\n    end""}",
VpsAdmin::API::Resources::IpAddressAssignment::Index,VpsAdmin::API::Resources::IpAddressAssignment,Index,HaveAPI::Actions::Default::Index,owner_or_admin,True,True,,,False,api/lib/vpsadmin/api/resources/ip_address_assignment.rb,24,122,,,"[""u.role == :admin"", ""(allow)""]","[""user_id: u.id""]",[],"[""user""]",[],"[""user"", ""raw_user_id""]",[],"[{""file"": ""api/lib/vpsadmin/api/resources/ip_address_assignment.rb"", ""kind"": ""inclass"", ""line_end"": 57, ""line_start"": 51, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n        restrict user_id: u.id\n        input blacklist: %i[user]\n        output blacklist: %i[user raw_user_id]\n        allow\n      end""}]","{""file"": ""api/lib/vpsadmin/api/resources/ip_address_assignment.rb"", ""kind"": ""inclass"", ""line_end"": 57, ""line_start"": 51, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n        restrict user_id: u.id\n        input blacklist: %i[user]\n        output blacklist: %i[user raw_user_id]\n        allow\n      end""}",
VpsAdmin::API::Resources::IpAddressAssignment::Show,VpsAdmin::API::Resources::IpAddressAssignment,Show,HaveAPI::Actions::Default::Show,owner_or_admin,True,True,,,False,api/lib/vpsadmin/api/resources/ip_address_assignment.rb,124,147,,,"[""u.role == :admin"", ""(allow)""]","[""user_id: u.id""]",[],[],[],"[""user"", ""raw_user_id""]",[],"[{""file"": ""api/lib/vpsadmin/api/resources/ip_address_assignment.rb"", ""kind"": ""inclass"", ""line_end"": 136, ""line_start"": 131, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n        restrict user_id: u.id\n        output blacklist: %i[user raw_user_id]\n        allow\n      end""}]","{""file"": ""api/lib/vpsadmin/api/resources/ip_address_assignment.rb"", ""kind"": ""inclass"", ""line_end"": 136, ""line_start"": 131, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n        restrict user_id: u.id\n        output blacklist: %i[user raw_user_id]\n        allow\n      end""}",
VpsAdmin::API::Resources::Language::Index,VpsAdmin::API::Resources::Language,Index,HaveAPI::Actions::Default::Index,public,False,True,,,False,api/lib/vpsadmin/api/resources/language.rb,12,32,,,"[""(allow)""]",[],[],[],[],[],[],"[{""file"": ""api/lib/vpsadmin/api/resources/language.rb"", ""kind"": ""inclass"", ""line_end"": 19, ""line_start"": 19, ""snippet"": ""      authorize { allow }""}]","{""file"": ""api/lib/vpsadmin/api/resources/language.rb"", ""kind"": ""inclass"", ""line_end"": 19, ""line_start"": 19, ""snippet"": ""      authorize { allow }""}",
VpsAdmin::API::Resources::Language::Show,VpsAdmin::API::Resources::Language,Show,HaveAPI::Actions::Default::Show,authenticated,True,True,,,False,api/lib/vpsadmin/api/resources/language.rb,34,50,,,"[""(allow)""]",[],[],[],[],[],[],"[{""file"": ""api/lib/vpsadmin/api/resources/language.rb"", ""kind"": ""inclass"", ""line_end"": 41, ""line_start"": 41, ""snippet"": ""      authorize { allow }""}]","{""file"": ""api/lib/vpsadmin/api/resources/language.rb"", ""kind"": ""inclass"", ""line_end"": 41, ""line_start"": 41, ""snippet"": ""      authorize { allow }""}",
VpsAdmin::API::Resources::Location::Create,VpsAdmin::API::Resources::Location,Create,HaveAPI::Actions::Default::Create,admin_only,True,True,,,False,api/lib/vpsadmin/api/resources/location.rb,187,223,,,"[""u.role == :admin""]",[],[],[],[],[],[],"[{""file"": ""api/lib/vpsadmin/api/resources/location.rb"", ""kind"": ""inclass"", ""line_end"": 200, ""line_start"": 198, ""snippet"": ""    authorize do |u|\n      allow if u.role == :admin\n    end""}]","{""file"": ""api/lib/vpsadmin/api/resources/location.rb"", ""kind"": ""inclass"", ""line_end"": 200, ""line_start"": 198, ""snippet"": ""    authorize do |u|\n      allow if u.role == :admin\n    end""}",
VpsAdmin::API::Resources::Location::Index,VpsAdmin::API::Resources::Location,Index,HaveAPI::Actions::Default::Index,public,False,True,,,False,api/lib/vpsadmin/api/resources/location.rb,24,185,,,"[""u && u.role == :admin"", ""(allow)""]",[],[],[],[],[],[],"[{""file"": ""api/lib/vpsadmin/api/resources/location.rb"", ""kind"": ""inclass"", ""line_end"": 59, ""line_start"": 55, ""snippet"": ""    authorize do |u|\n      allow if u.role == :admin\n      output whitelist: %i[id label description environment remote_console_server]\n      allow\n    end""}, {""file"": ""plugins/requests/api/resources/override.rb"", ""kind"": ""override"", ""line_end"": 13, ""line_start"": 3, ""snippet"": ""  Location::Index.authorize do |u|\n    allow if u && u.role == :admin\n\n    if u\n      output whitelist: %i[id label description environment remote_console_server]\n    else\n      output whitelist: %i[id label description environment]\n    end\n\n    allow\n  end""}]","{""file"": ""plugins/requests/api/resources/override.rb"", ""kind"": ""override"", ""line_end"": 13, ""line_start"": 3, ""snippet"": ""  Location::Index.authorize do |u|\n    allow if u && u.role == :admin\n\n    if u\n      output whitelist: %i[id label description environment remote_console_server]\n    else\n      output whitelist: %i[id label description environment]\n    end\n\n    allow\n  end""}",
VpsAdmin::API::Resources::Location::Show,VpsAdmin::API::Resources::Location,Show,HaveAPI::Actions::Default::Show,authenticated,True,True,,,False,api/lib/vpsadmin/api/resources/location.rb,225,253,,,"[""u.role == :admin"", ""(allow)""]","[""whitelist: %i[id label description environment remote_console_server]""]",[],[],[],[],[],"[{""file"": ""api/lib/vpsadmin/api/resources/location.rb"", ""kind"": ""inclass"", ""line_end"": 236, ""line_start"": 232, ""snippet"": ""    authorize do |u|\n      allow if u.role == :admin\n      restrict whitelist: %i[id label description environment remote_console_server]\n      allow\n    end""}]","{""file"": ""api/lib/vpsadmin/api/resources/location.rb"", ""kind"": ""inclass"", ""line_end"": 236, ""line_start"": 232, ""snippet"": ""    authorize do |u|\n      allow if u.role == :admin\n      restrict whitelist: %i[id label description environment remote_console_server]\n      allow\n    end""}",
VpsAdmin::API::Resources::Location::Update,VpsAdmin::API::Resources::Location,Update,HaveAPI::Actions::Default::Update,admin_only,True,True,,,False,api/lib/vpsadmin/api/resources/location.rb,255,287,,,"[""u.role == :admin""]",[],[],[],[],[],[],"[{""file"": ""api/lib/vpsadmin/api/resources/location.rb"", ""kind"": ""inclass"", ""line_end"": 264, ""line_start"": 262, ""snippet"": ""    authorize do |u|\n      allow if u.role == :admin\n    end""}]","{""file"": ""api/lib/vpsadmin/api/resources/location.rb"", ""kind"": ""inclass"", ""line_end"": 264, ""line_start"": 262, ""snippet"": ""    authorize do |u|\n      allow if u.role == :admin\n    end""}",
VpsAdmin::API::Resources::LocationNetwork::Create,VpsAdmin::API::Resources::LocationNetwork,Create,HaveAPI::Actions::Default::Create,admin_only,True,True,,,False,api/lib/vpsadmin/api/resources/location_network.rb,81,104,,,"[""u.role == :admin""]",[],[],[],[],[],[],"[{""file"": ""api/lib/vpsadmin/api/resources/location_network.rb"", ""kind"": ""inclass"", ""line_end"": 95, ""line_start"": 93, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n      end""}]","{""file"": ""api/lib/vpsadmin/api/resources/location_network.rb"", ""kind"": ""inclass"", ""line_end"": 95, ""line_start"": 93, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n      end""}",
VpsAdmin::API::Resources::LocationNetwork::Delete,VpsAdmin::API::Resources::LocationNetwork,Delete,HaveAPI::Actions::Default::Delete,admin_only,True,True,,,False,api/lib/vpsadmin/api/resources/location_network.rb,131,144,,,"[""u.role == :admin""]",[],[],[],[],[],[],"[{""file"": ""api/lib/vpsadmin/api/resources/location_network.rb"", ""kind"": ""inclass"", ""line_end"": 136, ""line_start"": 134, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n      end""}]","{""file"": ""api/lib/vpsadmin/api/resources/location_network.rb"", ""kind"": ""inclass"", ""line_end"": 136, ""line_start"": 134, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n      end""}",
VpsAdmin::API::Resources::LocationNetwork::Index,VpsAdmin::API::Resources::LocationNetwork,Index,HaveAPI::Actions::Default::Index,admin_only,True,True,,,False,api/lib/vpsadmin/api/resources/location_network.rb,24,59,,,"[""u.role == :admin""]",[],[],[],[],[],[],"[{""file"": ""api/lib/vpsadmin/api/resources/location_network.rb"", ""kind"": ""inclass"", ""line_end"": 37, ""line_start"": 35, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n      end""}]","{""file"": ""api/lib/vpsadmin/api/resources/location_network.rb"", ""kind"": ""inclass"", ""line_end"": 37, ""line_start"": 35, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n      end""}",
VpsAdmin::API::Resources::LocationNetwork::Show,VpsAdmin::API::Resources::LocationNetwork,Show,HaveAPI::Actions::Default::Show,admin_only,True,True,,,False,api/lib/vpsadmin/api/resources/location_network.rb,61,79,,,"[""u.role == :admin""]",[],[],[],[],[],[],"[{""file"": ""api/lib/vpsadmin/api/resources/location_network.rb"", ""kind"": ""inclass"", ""line_end"": 70, ""line_start"": 68, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n      end""}]","{""file"": ""api/lib/vpsadmin/api/resources/location_network.rb"", ""kind"": ""inclass"", ""line_end"": 70, ""line_start"": 68, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n      end""}",
VpsAdmin::API::Resources::LocationNetwork::Update,VpsAdmin::API::Resources::LocationNetwork,Update,HaveAPI::Actions::Default::Update,admin_only,True,True,,,False,api/lib/vpsadmin/api/resources/location_network.rb,106,129,,,"[""u.role == :admin""]",[],[],[],[],[],[],"[{""file"": ""api/lib/vpsadmin/api/resources/location_network.rb"", ""kind"": ""inclass"", ""line_end"": 119, ""line_start"": 117, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n      end""}]","{""file"": ""api/lib/vpsadmin/api/resources/location_network.rb"", ""kind"": ""inclass"", ""line_end"": 119, ""line_start"": 117, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n      end""}",
VpsAdmin::API::Resources::MailLog::Index,VpsAdmin::API::Resources::MailLog,Index,HaveAPI::Actions::Default::Index,admin_only,True,True,,,False,api/lib/vpsadmin/api/resources/mail_log.rb,26,52,,,"[""u.role == :admin""]",[],[],[],[],[],[],"[{""file"": ""api/lib/vpsadmin/api/resources/mail_log.rb"", ""kind"": ""inclass"", ""line_end"": 39, ""line_start"": 37, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n      end""}]","{""file"": ""api/lib/vpsadmin/api/resources/mail_log.rb"", ""kind"": ""inclass"", ""line_end"": 39, ""line_start"": 37, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n      end""}",
VpsAdmin::API::Resources::MailLog::Show,VpsAdmin::API::Resources::MailLog,Show,HaveAPI::Actions::Default::Show,admin_only,True,True,,,False,api/lib/vpsadmin/api/resources/mail_log.rb,54,72,,,"[""u.role == :admin""]",[],[],[],[],[],[],"[{""file"": ""api/lib/vpsadmin/api/resources/mail_log.rb"", ""kind"": ""inclass"", ""line_end"": 63, ""line_start"": 61, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n      end""}]","{""file"": ""api/lib/vpsadmin/api/resources/mail_log.rb"", ""kind"": ""inclass"", ""line_end"": 63, ""line_start"": 61, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n      end""}",
